"(PDH-CSV 4.0) (Hora est. Pacífico, Sudamérica)(300)","\\ISIS2503S1-0271\Proceso(eclipse)\% de tiempo de procesador"
"05/01/2018 18:52:14.280"," "
"05/01/2018 18:52:15.294","0"
"05/01/2018 18:52:16.292","15.625"
"05/01/2018 18:52:17.290","0"
"05/01/2018 18:52:18.289","0"
"05/01/2018 18:52:19.288","0"
"05/01/2018 18:52:20.287","0"
"05/01/2018 18:52:21.286","4.6828092472882661"
"05/01/2018 18:52:22.285","0"
"05/01/2018 18:52:23.285","4.6828092472882661"
"05/01/2018 18:52:24.288","1.5550187009736149"
"05/01/2018 18:52:25.303","4.6108370132765639"
"05/01/2018 18:52:26.293","3.1508485322088378"
"05/01/2018 18:52:27.294","1.5587503738229136"
"05/01/2018 18:52:28.311","0"
"05/01/2018 18:52:29.298","0"
"05/01/2018 18:52:30.300","1.5562643828832765"
"05/01/2018 18:52:31.286","3.1649412775284729"
"05/01/2018 18:52:32.289","35.794080806315357"
"05/01/2018 18:52:33.288","1.5609364157627552"
"05/01/2018 18:52:34.288","3.1218728315255104"
"05/01/2018 18:52:35.304","0"
"05/01/2018 18:52:36.304","0"
"05/01/2018 18:52:37.303","0"
"05/01/2018 18:52:38.304","6.2375038309423392"
"05/01/2018 18:52:39.287","4.7619047619047619"
"05/01/2018 18:52:40.290","6.2188529897492231"
"05/01/2018 18:52:41.289","9.3730810842422301"
"05/01/2018 18:52:42.286","1.5634373673968072"
"05/01/2018 18:52:43.286","1.5609364157627552"
"05/01/2018 18:52:44.288","0"
"05/01/2018 18:52:45.289","1.5581252916472235"
"05/01/2018 18:52:46.299","0"
"05/01/2018 18:52:47.303","6.2138801858057766"
"05/01/2018 18:52:48.303","12.487491326102042"
"05/01/2018 18:52:49.308","0"
"05/01/2018 18:52:50.292","7.9284399857532941"
"05/01/2018 18:52:51.296","0"
"05/01/2018 18:52:52.296","1.5593759577355848"
"05/01/2018 18:52:53.295","0"
"05/01/2018 18:52:54.295","4.6828092472882661"
"05/01/2018 18:52:55.294","1.5609364157627552"
"05/01/2018 18:52:56.293","1.5625"
"05/01/2018 18:52:57.323","0"
"05/01/2018 18:52:58.292","0"
"05/01/2018 18:52:59.292","0"
"05/01/2018 18:53:00.291","1.5609364157627552"
"05/01/2018 18:53:01.291","0"
"05/01/2018 18:53:02.290","0"
"05/01/2018 18:53:03.290","1.5593759577355848"
"05/01/2018 18:53:04.305","0"
"05/01/2018 18:53:05.305","3.1218728315255104"
"05/01/2018 18:53:06.304","0"
"05/01/2018 18:53:07.303","0"
"05/01/2018 18:53:08.302","0"
"05/01/2018 18:53:09.300","0"
"05/01/2018 18:53:10.300","4.6828092472882661"
"05/01/2018 18:53:11.283","3.1746031746031744"
"05/01/2018 18:53:12.281","0"
"05/01/2018 18:53:13.295","0"
"05/01/2018 18:53:14.293","0"
"05/01/2018 18:53:15.292","0"
"05/01/2018 18:53:16.290","0"
"05/01/2018 18:53:17.289","0"
