"(PDH-CSV 4.0) (Hora est. Pacífico, Sudamérica)(300)","\\ISIS2503S1-0271\Proceso(eclipse)\% de tiempo de procesador"
"05/01/2018 19:29:50.814"," "
"05/01/2018 19:29:51.797","0"
"05/01/2018 19:29:52.795","0"
"05/01/2018 19:29:53.793","0"
"05/01/2018 19:29:54.792","0"
"05/01/2018 19:29:55.790","0"
"05/01/2018 19:29:56.788","0"
"05/01/2018 19:29:57.787","0"
"05/01/2018 19:29:58.786","0"
"05/01/2018 19:29:59.786","0"
"05/01/2018 19:30:00.800","0"
"05/01/2018 19:30:01.800","0"
"05/01/2018 19:30:02.799","1.5610165434672276"
"05/01/2018 19:30:03.798","0"
"05/01/2018 19:30:04.800","0"
"05/01/2018 19:30:05.799","0"
"05/01/2018 19:30:06.798","0"
"05/01/2018 19:30:07.798","0"
"05/01/2018 19:30:08.797","1.5610165434672276"
"05/01/2018 19:30:09.796","0"
"05/01/2018 19:30:10.795","0"
"05/01/2018 19:30:11.793","0"
"05/01/2018 19:30:12.793","0"
"05/01/2018 19:30:13.791","0"
"05/01/2018 19:30:14.789","0"
"05/01/2018 19:30:15.788","0"
"05/01/2018 19:30:16.787","0"
"05/01/2018 19:30:17.786","0"
"05/01/2018 19:30:18.785","0"
"05/01/2018 19:30:19.783","0"
"05/01/2018 19:30:20.782","0"
"05/01/2018 19:30:21.796","0"
"05/01/2018 19:30:22.796","0"
"05/01/2018 19:30:23.795","0"
"05/01/2018 19:30:24.794","0"
"05/01/2018 19:30:25.794","0"
"05/01/2018 19:30:26.793","0"
"05/01/2018 19:30:27.792","0"
"05/01/2018 19:30:28.791","0"
"05/01/2018 19:30:29.790","0"
"05/01/2018 19:30:30.805","0"
"05/01/2018 19:30:31.804","0"
"05/01/2018 19:30:32.802","0"
"05/01/2018 19:30:33.801","0"
"05/01/2018 19:30:34.801","0"
"05/01/2018 19:30:35.800","0"
"05/01/2018 19:30:36.798","0"
"05/01/2018 19:30:37.797","0"
"05/01/2018 19:30:38.796","0"
"05/01/2018 19:30:39.794","0"
"05/01/2018 19:30:40.794","0"
"05/01/2018 19:30:41.792","0"
