"(PDH-CSV 4.0) (Hora est. Pacífico, Sudamérica)(300)","\\ISIS2503S1-0271\Proceso(eclipse)\% de tiempo de procesador"
"05/01/2018 17:51:40.059"," "
"05/01/2018 17:51:41.073","0"
"05/01/2018 17:51:42.073","0"
"05/01/2018 17:51:43.071","0"
"05/01/2018 17:51:44.070","0"
"05/01/2018 17:51:45.068","0"
"05/01/2018 17:51:46.067","0"
"05/01/2018 17:51:47.065","0"
"05/01/2018 17:51:48.064","0"
"05/01/2018 17:51:49.111","11.928884423232578"
"05/01/2018 17:51:50.064","11.455987991851615"
"05/01/2018 17:51:51.079","3.0738913421843761"
"05/01/2018 17:51:52.078","9.3656184945765322"
"05/01/2018 17:51:53.078","1.5609364157627552"
"05/01/2018 17:51:54.077","1.5609364157627552"
"05/01/2018 17:51:55.077","1.5609364157627552"
"05/01/2018 17:51:56.076","9.3656184945765322"
"05/01/2018 17:51:57.075","1.5609364157627552"
"05/01/2018 17:51:58.078","3.1131408925696888"
"05/01/2018 17:51:59.061","1.5856879971506588"
"05/01/2018 17:52:00.061","3.1218728315255104"
"05/01/2018 17:52:01.076","7.6847283554609405"
"05/01/2018 17:52:02.075","0"
"05/01/2018 17:52:03.077","1.5578186165520962"
"05/01/2018 17:52:04.076","0"
"05/01/2018 17:52:05.077","0"
"05/01/2018 17:52:06.062","3.1681553685927137"
"05/01/2018 17:52:07.076","3.0769230769230771"
"05/01/2018 17:52:08.075","0"
"05/01/2018 17:52:09.073","0"
"05/01/2018 17:52:10.087","0"
"05/01/2018 17:52:11.085","0"
"05/01/2018 17:52:12.084","0"
"05/01/2018 17:52:13.082","0"
"05/01/2018 17:52:14.082","4.6828092472882661"
"05/01/2018 17:52:15.080","0"
"05/01/2018 17:52:16.079","21.853109820678572"
"05/01/2018 17:52:17.062","0"
"05/01/2018 17:52:18.063","17.153135535091433"
"05/01/2018 17:52:19.061","9.375"
"05/01/2018 17:52:20.075","26.153846153846157"
"05/01/2018 17:52:21.073","10.9375"
"05/01/2018 17:52:22.072","26.5625"
"05/01/2018 17:52:23.070","20.3125"
"05/01/2018 17:52:24.069","14.0625"
"05/01/2018 17:52:25.067","23.4375"
"05/01/2018 17:52:26.066","7.8125"
"05/01/2018 17:52:27.064","12.5"
"05/01/2018 17:52:28.062","26.5625"
"05/01/2018 17:52:29.076","12.307692307692308"
"05/01/2018 17:52:30.075","1.5625"
"05/01/2018 17:52:31.073","34.375"
"05/01/2018 17:52:32.072","3.125"
"05/01/2018 17:52:33.070","1.5625"
"05/01/2018 17:52:34.068","4.6875"
"05/01/2018 17:52:35.067","0"
"05/01/2018 17:52:36.065","0"
"05/01/2018 17:52:37.064","0"
"05/01/2018 17:52:38.062","0"
"05/01/2018 17:52:39.076","0"
"05/01/2018 17:52:40.074","0"
"05/01/2018 17:52:41.073","0"
"05/01/2018 17:52:42.071","0"
"05/01/2018 17:52:43.070","0"
"05/01/2018 17:52:44.068","0"
