"(PDH-CSV 4.0) (Hora est. Pacífico, Sudamérica)(300)","\\ISIS2503S1-0271\Proceso(eclipse)\% de tiempo de procesador"
"05/01/2018 17:30:23.733"," "
"05/01/2018 17:30:24.732","0"
"05/01/2018 17:30:25.730","0"
"05/01/2018 17:30:26.729","6.25"
"05/01/2018 17:30:27.727","3.125"
"05/01/2018 17:30:28.726","7.8125"
"05/01/2018 17:30:29.724","1.5625"
"05/01/2018 17:30:30.722","0"
"05/01/2018 17:30:31.722","0"
"05/01/2018 17:30:32.706","1.5856879971506588"
"05/01/2018 17:30:33.705","1.5609364157627552"
"05/01/2018 17:30:34.720","6.1477826843687522"
"05/01/2018 17:30:35.719","3.1218728315255104"
"05/01/2018 17:30:36.719","1.5609364157627552"
"05/01/2018 17:30:37.718","12.487491326102042"
"05/01/2018 17:30:38.718","0"
"05/01/2018 17:30:39.716","3.125"
"05/01/2018 17:30:40.715","3.1218728315255104"
"05/01/2018 17:30:41.715","6.2437456630510209"
"05/01/2018 17:30:42.714","1.5609364157627552"
"05/01/2018 17:30:43.714","0"
"05/01/2018 17:30:44.729","0"
"05/01/2018 17:30:45.727","0"
"05/01/2018 17:30:46.725","0"
"05/01/2018 17:30:47.727","3.1156372331041924"
"05/01/2018 17:30:48.726","0"
"05/01/2018 17:30:49.709","7.9365079365079358"
"05/01/2018 17:30:50.708","6.2437456630510209"
"05/01/2018 17:30:51.708","0"
"05/01/2018 17:30:52.706","0"
"05/01/2018 17:30:53.706","0"
"05/01/2018 17:30:54.720","0"
"05/01/2018 17:30:55.719","1.5609364157627552"
"05/01/2018 17:30:56.719","0"
"05/01/2018 17:30:57.719","0"
"05/01/2018 17:30:58.717","0"
"05/01/2018 17:30:59.717","0"
"05/01/2018 17:31:00.716","0"
"05/01/2018 17:31:01.715","0"
"05/01/2018 17:31:02.714","9.3656184945765322"
"05/01/2018 17:31:03.728","0"
"05/01/2018 17:31:04.727","0"
"05/01/2018 17:31:05.726","0"
"05/01/2018 17:31:06.725","0"
"05/01/2018 17:31:07.724","0"
"05/01/2018 17:31:08.723","0"
"05/01/2018 17:31:09.722","0"
"05/01/2018 17:31:10.721","0"
"05/01/2018 17:31:11.719","0"
"05/01/2018 17:31:12.719","1.5609364157627552"
"05/01/2018 17:31:13.734","0"
"05/01/2018 17:31:14.717","0"
"05/01/2018 17:31:15.717","0"
"05/01/2018 17:31:16.715","0"
"05/01/2018 17:31:17.715","0"
"05/01/2018 17:31:18.713","0"
"05/01/2018 17:31:19.712","0"
"05/01/2018 17:31:20.711","0"
"05/01/2018 17:31:21.710","1.5609364157627552"
"05/01/2018 17:31:22.721","0"
"05/01/2018 17:31:23.720","0"
"05/01/2018 17:31:24.719","0"
"05/01/2018 17:31:25.718","1.5625"
"05/01/2018 17:31:26.717","3.1218728315255104"
"05/01/2018 17:31:27.716","0"
"05/01/2018 17:31:28.715","0"
"05/01/2018 17:31:29.714","0"
"05/01/2018 17:31:30.713","0"
"05/01/2018 17:31:31.711","0"
"05/01/2018 17:31:32.711","0"
"05/01/2018 17:31:33.725","0"
"05/01/2018 17:31:34.724","0"
"05/01/2018 17:31:35.724","0"
"05/01/2018 17:31:36.722","0"
"05/01/2018 17:31:37.721","0"
"05/01/2018 17:31:38.720","0"
"05/01/2018 17:31:39.719","0"
"05/01/2018 17:31:40.718","0"
"05/01/2018 17:31:41.717","0"
"05/01/2018 17:31:42.716","0"
"05/01/2018 17:31:43.731","0"
"05/01/2018 17:31:44.730","0"
"05/01/2018 17:31:45.729","0"
"05/01/2018 17:31:46.712","0"
"05/01/2018 17:31:47.711","0"
"05/01/2018 17:31:48.711","0"
"05/01/2018 17:31:49.710","1.5609364157627552"
"05/01/2018 17:31:50.710","0"
"05/01/2018 17:31:51.708","1.5625"
"05/01/2018 17:31:52.723","0"
"05/01/2018 17:31:53.722","0"
"05/01/2018 17:31:54.721","0"
"05/01/2018 17:31:55.720","0"
"05/01/2018 17:31:56.720","20.292173404915818"
"05/01/2018 17:31:57.719","0"
"05/01/2018 17:31:58.720","0"
"05/01/2018 17:31:59.719","4.6875"
"05/01/2018 17:32:00.717","0"
"05/01/2018 17:32:01.717","0"
"05/01/2018 17:32:02.732","0"
"05/01/2018 17:32:03.730","1.5625"
"05/01/2018 17:32:04.730","0"
"05/01/2018 17:32:05.729","0"
"05/01/2018 17:32:06.712","0"
"05/01/2018 17:32:07.711","0"
"05/01/2018 17:32:08.710","0"
"05/01/2018 17:32:09.709","0"
